reg_code,year
1,2001
2,2002
3,2003
4,2004
5,2005
6,2006
7,2007
8,2008
9,2009
10,2010
11,2011
12,2012
13,2013
14,2014
15,2015
16,2016
17,2017
18,2018
19,2019
20,2020
21,2021
22,2022
23,2023
24,2024
25,2025
26,2026
27,2027
28,2028
29,2029
30,2030
31,2031
32,2032
33,2033
34,2034
35,2035
36,2036
37,2037
38,2038
39,2039
40,2040
41,2041
42,2042
43,2043
44,2044
45,2045
46,2046
47,2047
48,2048
49,2049
50,2050
51,2001
52,2002
53,2003
54,2004
55,2005
56,2006
57,2007
58,2008
59,2009
60,2010
61,2011
62,2012
63,2013
64,2014
65,2015
66,2016
67,2017
68,2018
69,2019
70,2020
71,2021
72,2022
73,2023
74,2024
75,2025
76,2026
77,2027
78,2028
79,2029
80,2030
81,2031
82,2032
83,2033
84,2034
85,2035
86,2036
87,2037
88,2038
89,2039
90,2040
91,2041
92,2042
93,2043
94,2044
95,2045
96,2046
97,2047
98,2048
99,2049
100,2050
A,1984
B,1985
C,1986
D,1987
E,1988
F,1989
G,1990
H,1991
J,1992
K,1993
L,1994
M,1995
N,1996
P,1997
R,1998
S,1999
T,1999
V,2000
W,2000
X,2001
Y,2001
